,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
3750,17053024,MISSING JUVENILE,MISSING PERSON,1700 ARCH ST,Berkeley,CA,Monday,37.877636,-122.264323,2017-09-04 15:00:00,4
3753,17068382,ASSAULT/BATTERY MISD.,ASSAULT,SPRUCE STREET & HEARST AVE,Berkeley,CA,Thursday,37.874274,-122.265373,2017-11-09 20:07:00,4
3757,17065458,ROBBERY,ROBBERY,1100 UNIVERSITY AVE,Berkeley,CA,Friday,37.869067,-122.292043,2017-10-27 20:32:00,3
3761,17049481,DISTURBANCE,DISORDERLY CONDUCT,1200 UNIVERSITY AVE,Berkeley,CA,Monday,37.869385,-122.28953,2017-08-21 23:04:00,3
3763,17076817,THEFT FELONY (OVER $950),LARCENY,100 SEAWALL DR,Berkeley,CA,Friday,37.863611,-122.317566,2017-12-15 12:00:00,3
3766,18007846,DISTURBANCE,DISORDERLY CONDUCT,2400 PARKER ST,Berkeley,CA,Wednesday,37.863072,-122.260352,2018-02-07 20:40:00,3
3767,17049767,ROBBERY,ROBBERY,DERBY STREET & ACTON ST,Berkeley,CA,Wednesday,37.858427,-122.282485,2017-08-23 05:00:00,3
3770,17092106,THEFT FELONY (OVER $950),LARCENY,1700 SIXTH ST,Berkeley,CA,Saturday,37.871969,-122.298978,2017-10-21 21:55:00,3
3778,17053350,ROBBERY,ROBBERY,ASHBY AVENUE & ADELINE ST,Berkeley,CA,Wednesday,37.854732,-122.26898,2017-09-06 15:10:00,3
3779,17092406,THEFT FELONY (OVER $950),LARCENY,2000 CENTER ST,Berkeley,CA,Wednesday,37.869973,-122.270557,2017-11-29 11:20:00,3
3781,17056979,THEFT FROM PERSON,LARCENY,3300 ADELINE ST,Berkeley,CA,Thursday,37.84827,-122.271788,2017-09-21 10:00:00,5
3782,17075562,ASSAULT/BATTERY MISD.,ASSAULT,2000 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.871828,-122.270516,2017-12-13 11:29:00,4
3795,17051831,THEFT FELONY (OVER $950),LARCENY,2800 COLLEGE AVE,Berkeley,CA,Thursday,37.859988,-122.253339,2017-08-31 14:20:00,3
3797,17071518,ASSAULT/BATTERY MISD.,ASSAULT,1600 SAN PABLO AVE,Berkeley,CA,Friday,37.875189,-122.294176,2017-11-24 10:20:00,4
